count,CH,CU,FC,FF,FS,SI,SL,ST
0-0,0.0789891586501756,0.09703771568178347,0.088792182012521,0.3456405558100473,0.018582989769430448,0.19512902733241716,0.11601771262788212,0.05981065811574286
0-1,0.15674764442036185,0.08010475932448298,0.07932207471627684,0.29471085824377613,0.04346909900960294,0.15039585779222733,0.12080435895120263,0.0744453475420693
0-2,0.1460476939837792,0.10719041278295606,0.04012831376346689,0.338034136303111,0.0534438929911633,0.07020941774603559,0.14265827381672921,0.10228785861275874
1-0,0.1274758552954657,0.06633655262727124,0.09997544606318547,0.3130217711573089,0.02737763954820756,0.19839580946145033,0.12060075298739564,0.04681617285971518
1-1,0.16681635362567848,0.07684798313093054,0.08528251786481315,0.2903276191963763,0.04443750244054825,0.15029872310515835,0.11851302276543403,0.06747627787106096
1-2,0.15168170631665298,0.10324036095159968,0.0470467596390484,0.31870385561936015,0.0544298605414274,0.09466776045939294,0.13773584905660377,0.09249384741591468
2-0,0.09169402894320808,0.036483035388544326,0.12039401678219627,0.36300620211601603,0.014106773683570472,0.2368965097896145,0.10677368357047307,0.030645749726377236
2-1,0.13106318577374196,0.06553159288687098,0.09950813469542187,0.31880438895194857,0.02905788876276958,0.1811577752553916,0.12319334090049186,0.0516836927733636
2-2,0.14658361822694704,0.09310167189622068,0.05577670584929518,0.31597433615885356,0.047815295274668664,0.12958366505877394,0.12995831967405047,0.08120638786119047
3-0,0.01375,0.0020833333333333333,0.05,0.6554166666666666,0.00375,0.2475,0.025416666666666667,0.0020833333333333333
3-1,0.0660377358490566,0.025094339622641508,0.12283018867924528,0.4058490566037736,0.011132075471698113,0.2537735849056604,0.09452830188679245,0.020754716981132074
3-2,0.09635036496350365,0.06523242412600845,0.07829427583557434,0.38232808298117554,0.023511333077218595,0.1828659239339224,0.11963119477525931,0.051786400307337686
