model,dataset,rows,accuracy,top2_accuracy,top3_accuracy,macro_f1,avg_actual_probability,avg_confidence
hist_gradient_boosting,2025_holdout,52324,0.43156104273373597,0.6987806742603776,0.8547511658130112,0.2740421842841162,0.30591475328869855,0.420217094995415
hist_gradient_boosting_arsenal_masked,2025_holdout,52324,0.43156104273373597,0.6988571210152129,0.8555538567387815,0.2740421842841162,0.3184883841760303,0.4373498463662921
lookup_pitcher_count_prev_stand,2025_holdout,52324,0.42177585811482304,0.6789236296919196,0.8322949315801544,0.2582175935792083,0.2526784971397417,0.3501732104517104
lookup_pitcher_count_prev_stand_arsenal_masked,2025_holdout,52324,0.4217567464261142,0.6805481232321688,0.8404173992814005,0.2581921417419637,0.3040056502879274,0.42157340625538
lookup_pitcher_count_prev,2025_holdout,52324,0.4101368396911551,0.6579198838009327,0.8150753000535127,0.2465857313768862,0.25729776844946095,0.3640737148943036
lookup_pitcher_count_prev_arsenal_masked,2025_holdout,52324,0.4100986163137375,0.6581683357541472,0.8175789312743674,0.24654709370533018,0.2931896861527155,0.4144089114224974
lookup_pitcher_count,2025_holdout,52324,0.4045371148994725,0.6512499044415565,0.815247305251892,0.22599907807767153,0.27683872004284227,0.389004477487551
lookup_pitcher_count_arsenal_masked,2025_holdout,52324,0.4045371148994725,0.6512499044415565,0.8152855286293097,0.22599907807767153,0.2899954568876608,0.4069639619850346
lookup_pitcher_prev,2025_holdout,52324,0.39872716153199295,0.6510205641770507,0.8148841831664246,0.19186055529726234,0.2774448167393007,0.3926283423687919
lookup_pitcher_prev_arsenal_masked,2025_holdout,52324,0.39872716153199295,0.6510396758657595,0.8148650714777158,0.19186474782637178,0.2840415290615237,0.4020310898602017
random_forest_arsenal_masked,2025_holdout,52324,0.3916940600871493,0.6368014677776929,0.8033598348750095,0.13885260267717137,0.28993283803192743,0.4298757492499956
random_forest,2025_holdout,52324,0.38894197691308,0.6202889687332773,0.7682707744056265,0.1370628790960144,0.23770375197049842,0.3527591182322953
lookup_pitcher,2025_holdout,52324,0.379787478021558,0.6271691766684504,0.79529470223989,0.1297019751435996,0.26867711113191695,0.3811850148596826
lookup_pitcher_arsenal_masked,2025_holdout,52324,0.379787478021558,0.6271691766684504,0.79529470223989,0.1297019751435996,0.2703019472191452,0.383478334534097
lookup_global_arsenal_masked,2025_holdout,52324,0.3357541472364498,0.5102056417705069,0.6769360140662029,0.05129512166643196,0.2391724227290576,0.42791037255817443
lookup_global,2025_holdout,52324,0.3192034248146166,0.4773144255026374,0.5963037994037154,0.037225660787796794,0.17306086167455587,0.3192034248146166
hist_gradient_boosting_arsenal_masked,2026_to_date,82282,0.3898179431710459,0.6421696118227559,0.8016941736953405,0.23377815966017446,0.2941399418862394,0.4328218922484187
hist_gradient_boosting,2026_to_date,82282,0.3898057898446805,0.6421574584963905,0.8016091004107825,0.23377388816125183,0.2830436524847996,0.4147620409724928
lookup_pitcher_count_prev_stand,2026_to_date,82282,0.3730220461340269,0.6163802532753214,0.7696580053960769,0.22640202873869486,0.23147195549867788,0.34658072290485614
lookup_pitcher_count_prev_stand_arsenal_masked,2026_to_date,82282,0.37300989280766145,0.6190053717702535,0.780693225735884,0.22637955432757048,0.2788465741989131,0.41874933447706597
lookup_pitcher_count_prev_arsenal_masked,2026_to_date,82282,0.36579081694659826,0.598745776719088,0.7644563817116745,0.20933047929413834,0.2693752215482272,0.4119196953228072
lookup_pitcher_count_prev,2026_to_date,82282,0.36571789698840573,0.5981502637271822,0.7611992902457403,0.20931909379025349,0.2358930048446222,0.36042026301713714
lookup_pitcher_count,2026_to_date,82282,0.36169514596144964,0.5986120901290684,0.7683819061277072,0.18913686477467093,0.25632790313827547,0.3875352438432497
lookup_pitcher_count_arsenal_masked,2026_to_date,82282,0.36169514596144964,0.59866070343453,0.7686006660022848,0.18913686477467093,0.2684284965909037,0.40569500464936087
random_forest_arsenal_masked,2026_to_date,82282,0.3602732067766948,0.5969349310906396,0.7595464378600423,0.12044923547174423,0.2724653445594991,0.4304698995706322
random_forest,2026_to_date,82282,0.35864466104372766,0.5809046936146424,0.7262098636396782,0.11963734149651352,0.22409663766718588,0.3481259192612812
lookup_pitcher_prev,2026_to_date,82282,0.3511095986971634,0.5929729466955106,0.7647480615444447,0.1576776196718634,0.2548269923751007,0.38726226296091115
lookup_pitcher_prev_arsenal_masked,2026_to_date,82282,0.3507814588852969,0.5930944799591649,0.764954668092657,0.15752276992442077,0.2614376537391801,0.39813865205778376
lookup_pitcher,2026_to_date,82282,0.3388347390680829,0.5731630247198658,0.7524488952626334,0.10673138876112928,0.2497976892973722,0.37889415338489973
lookup_pitcher_arsenal_masked,2026_to_date,82282,0.3388347390680829,0.5731630247198658,0.7524488952626334,0.10673138876112928,0.25122796069480613,0.3812443735602455
lookup_global_arsenal_masked,2026_to_date,82282,0.3139204200189592,0.49462822974648163,0.6542014049245278,0.04862221068751208,0.22884427590173353,0.4299380157930824
lookup_global,2026_to_date,82282,0.2982669356602902,0.45956588318222696,0.5787414015215965,0.035344981536848535,0.1676251996804715,0.3192034248146166
