target_pitch_type,target_pitch_label,feature,mean_beta,mean_abs_beta,pitchers,mean_target_rate
CH,changeup (CH),prev_description_bunt_foul_tip,0.1805268616524748,0.3896072542039341,7,0.1715016267627644
CH,changeup (CH),count_3-0,-0.11499162803668056,0.21504554588978123,78,0.1506406328383523
CH,changeup (CH),prev_pitch_type_UN,-0.08511005536639664,0.18597610548875743,4,0.14623760836010774
CH,changeup (CH),prev_description_missed_bunt,-0.07651695798761464,0.17372770070833218,41,0.15673805306780073
CH,changeup (CH),prev_description_swinging_strike_blocked,0.01511405960299682,0.1709546339072919,72,0.15076104599281448
CH,changeup (CH),count_3-1,-0.04249392903546849,0.1629942355869318,78,0.1506406328383523
CH,changeup (CH),count_0-2,0.06434464929365169,0.1524014932840507,78,0.1506406328383523
CH,changeup (CH),count_1-2,0.06516794009667173,0.1521061595846828,78,0.1506406328383523
CH,changeup (CH),prev_pitch_type_START,-0.02664469267417748,0.15122119599031764,78,0.1506406328383523
CH,changeup (CH),count_2-0,-0.014512183130847985,0.14962981977001233,78,0.1506406328383523
CH,changeup (CH),count_3-2,0.0036024598353966352,0.14743554696831188,78,0.1506406328383523
CH,changeup (CH),count_0-1,0.08089989707408372,0.1455430409043603,78,0.1506406328383523
CH,changeup (CH),count_1-1,0.08369442916259275,0.14500069102215232,78,0.1506406328383523
CH,changeup (CH),count_2-2,0.06122771529372733,0.14152576141932635,78,0.1506406328383523
CH,changeup (CH),stand_R,-0.015854803146095265,0.13910023150840656,78,0.1506406328383523
CH,changeup (CH),count_1-0,0.03074780693312804,0.12971225241745804,78,0.1506406328383523
CH,changeup (CH),count_2-1,0.03871285568489492,0.1296223961955316,78,0.1506406328383523
CH,changeup (CH),prev_description_foul_bunt,-0.029062597584469423,0.12910558319383503,78,0.1506406328383523
CH,changeup (CH),prev_description_pitchout,0.02531456700070146,0.109364575373735,12,0.17849604268802197
CH,changeup (CH),prev_pitch_type_PO,0.02531456700070138,0.10936457537373495,12,0.17849604268802197
CH,changeup (CH),prev_pitch_type_FC,-0.00584018355809346,0.09056652742141175,46,0.14443223332521954
CH,changeup (CH),prev_pitch_type_FS,-0.07236807010773373,0.0865352128227789,4,0.13897533760013747
CH,changeup (CH),prev_pitch_type_ST,-0.02317415559617286,0.08186442857670606,36,0.12931962480554354
CH,changeup (CH),prev_pitch_type_CU,0.02508234153296114,0.07792138639192311,52,0.16157685301460722
CH,changeup (CH),prev_pitch_type_SL,-0.02106586860144948,0.0733243680482203,64,0.1475607438453576
CH,changeup (CH),prev_description_foul_tip,0.0016555521090474716,0.06813937977165037,78,0.1506406328383523
CH,changeup (CH),prev_description_blocked_ball,0.03097831390139506,0.06502271808291321,78,0.1506406328383523
CH,changeup (CH),prev_pitch_type_SI,-0.009149790087503272,0.06482228057219085,68,0.1510716381767002
CH,changeup (CH),prev_pitch_type_KC,-0.056259345158132766,0.06274189806058827,10,0.07785053468265482
CH,changeup (CH),prev_pitch_type_FF,-0.024864729741931667,0.06141861222568163,76,0.1494824746428158
CH,changeup (CH),prev_pitch_type_CS,0.030628165827483168,0.051902317840954795,5,0.13617219428102945
CH,changeup (CH),prev_description_ball,0.019823812912096013,0.046477213013430864,78,0.1506406328383523
CH,changeup (CH),prev_description_foul,0.0031658153530308595,0.04213670284570984,78,0.1506406328383523
CH,changeup (CH),prev_description_called_strike,0.0086477664887635,0.040939065266762685,78,0.1506406328383523
