pitcher_name,CH,CS,CU,FC,FF,FS,KC,SI,SL,ST,SV
Andre Pallante,0.0,0.0,0.0,0.0,0.31295236901206536,0.0,0.26607692167586405,-0.24173818656266077,-0.3474392420047202,0.0,0.0
Andrew Abbott,0.03775577012503441,0.0,-0.021443437641826452,-0.033628984508739856,-0.1113738254616401,0.0,0.0,0.0,0.0,0.12869047748717236,0.0
Andrew Heaney,-0.21660024051835403,-0.17808806342587377,0.43027127542457044,0.0,-0.3581697169359377,0.0,0.0,-0.1558087211095749,0.47839546656517445,0.0,0.0
Antonio Senzatela,-0.10596773025161998,0.0,0.07622693196045889,-0.04990012859213593,0.322918352895962,0.0,0.0,0.0,-0.23764624569554887,0.0,0.0
Bailey Ober,0.14650277065490136,0.0,-0.007462136675202475,0.0,-0.17944396532619514,0.0,0.0,-0.02905718815150784,0.012795400845282882,0.056665118652721065,0.0
Brad Lord,0.9151278368767126,0.0,0.0,0.0,-0.5946681736449819,0.0,0.0,-0.24282475708125884,-0.09130499818318918,0.0,0.0
Brady Singer,0.0,0.0,0.0,-0.05534988262600259,0.12446220808450832,0.0,0.0,-0.21061844702129168,0.10871703274185071,0.03278908882093389,0.0
Brandon Pfaadt,-0.030762491977916896,0.0,-0.09290363031986634,-0.10007249847023324,-0.19421929385831183,0.0,0.0,-0.4630383381927413,0.0,0.8816258904126504,0.0
Brayan Bello,0.01607526003329941,0.0,0.0,-0.025088076722662323,0.008447906259513624,0.0,0.0,-0.17151593876802487,0.0,0.17208084919787425,0.0
Bryan Woo,0.03346383288442282,0.0,0.0,0.0,0.016566234515991304,0.0,0.0,-0.2075611195310733,0.0781183157413424,0.07941273638931752,0.0
Bryce Elder,0.08614382527891486,0.0,0.0,0.0,0.06534322634753209,0.0,0.0,-0.17304006084870335,0.02155300922225641,0.0,0.0
Cal Quantrill,0.0,0.0,-0.09045019950645791,-0.38918733374907216,0.9214712406660095,0.016818360574941557,0.0,-0.5060470931323134,0.04793276074351709,0.0,0.0
Carlos Rodón,0.844163865993768,0.0,-0.14662536141863314,0.0,-0.6974238574259929,0.0,0.0,-0.13584825201110004,0.13298499423061927,0.0,0.0
Casey Mize,0.0,0.0,0.0,0.0,-0.05164644963488516,0.12011004418202291,0.0,-0.1568081678534364,-0.0955932703430648,0.0,0.18393784364936258
Charlie Morton,-0.21066512156057265,0.0,0.9160475889208983,-0.2176670816326234,-0.22889940091583771,0.0,0.0,-0.2588159848118648,0.0,0.0,0.0
Chris Bassitt,-0.09316924971751243,0.0,0.5209255618496607,-0.0076842597162211645,-0.03576901356723226,-0.02806026856267467,0.0,-0.34135162326333335,-0.049621096367379595,0.03472994934469179,0.0
Chris Paddack,-0.09896501243243871,0.0,-0.16914160115582585,-0.14359560012409886,0.6016072189562353,0.0,0.0,-0.1881794978459436,-0.0017255073979308144,0.0,0.0
Clay Holmes,0.03320482332366627,0.0,0.0,-0.2315965408363855,-0.0062251681169938206,0.0,0.0,0.18231765507084996,-0.017511377088657028,0.03981060764752167,0.0
Colin Rea,0.0,0.0,-0.0035777964438604565,-0.04997424107839671,-0.09039090182316731,0.04864992269051651,0.0,-0.038925681226613974,0.03080866937988088,0.10399808392604812,0.0
Cristopher Sánchez,0.874454434752824,0.0,0.0,0.0,0.0,0.0,0.0,-0.7456174858539096,-0.12883694889891353,0.0,0.0
David Peterson,-0.006399668354520303,0.0,0.03032810443463483,0.0,0.0861833397526523,0.0,0.0,-0.23961233514962307,0.12950055931685733,0.0,0.0
Davis Martin,-0.17735300689233474,0.0,-0.10956260368377432,-0.0399908040460198,0.6582722637874786,0.0,0.0,-0.15236904459062173,-0.1720302624765526,-0.004777131414791729,0.0
Dean Kremer,0.0,0.0,-0.238977842268416,0.9213067749223598,-0.3629725342496227,-0.11492262886528326,0.0,-0.2035288597571935,0.0,0.0,0.0
Drew Rasmussen,0.0,0.0,0.00984014260385599,-0.050833187839269066,-0.07894386073424421,0.0,0.0,-0.07461469056639532,0.0,0.11871968676163888,0.0
Dustin May,0.0,0.0,0.0,-0.26466488231950264,0.016390050060499206,0.0,0.0,0.32459566024325004,0.0,-0.05951760299670161,0.0
Dylan Cease,0.014587753464763271,0.0,0.0,0.0,-0.12075931756294957,0.0,0.02275806070033661,-0.03267120464559513,0.11982277864757593,-0.0037380706041314415,0.0
