pitcher_name,CH,CS,CU,FC,FF,FS,KC,SI,SL,ST,SV
Andre Pallante,0.0,0.0,0.0,0.0,0.09413068565503291,0.0,0.21364975522055882,0.17289286984014426,0.5192612850506022,0.0,0.0
Andrew Abbott,-0.08544593724867236,0.0,0.04556343998831765,0.01232261058877819,0.5872138685582957,0.0,0.0,0.0,0.0,0.44034601811328067,0.0
Andrew Heaney,0.213943252105168,0.1087792049933179,-0.22744583762657172,0.0,0.6713774342061559,0.0,0.0,0.31789884438748833,-0.08455289806556238,0.0,0.0
Antonio Senzatela,0.23835194910609525,0.0,0.09820970832701702,0.043409851048669054,0.3098542670727805,0.0,0.0,0.0,0.301672861249736,0.0,0.0
Bailey Ober,0.32844816796331977,0.0,0.014606459722564392,0.0,0.4553685702031304,0.0,0.0,-0.01664201444770006,0.17665587582092906,0.04156294073775625,0.0
Brad Lord,-0.5892239332472501,0.0,0.0,0.0,1.105189322457774,0.0,0.0,0.27106682246870084,0.21400893230302317,0.0,0.0
Brady Singer,0.0,0.0,0.0,0.11506685701966096,0.12389468793739401,0.0,0.0,0.44782264055868615,0.2257350804452162,0.08748073403904252,0.0
Brandon Pfaadt,0.38163333696204593,0.0,0.18859831208510697,0.18806245121084292,0.5582822226229123,0.0,0.0,0.371367709524302,0.0,-0.6881439636522454,0.0
Brayan Bello,0.18578214754221792,0.0,0.0,0.14921998926241722,0.28354717102608495,0.0,0.0,0.21764904751612799,0.0,0.16380164465315183,0.0
Bryan Woo,0.11775195774323688,0.0,0.0,0.0,0.5043741063920049,0.0,0.0,0.1971762684678709,0.17141854156432706,0.009279125832560839,0.0
Bryce Elder,0.16132000080070757,0.0,0.0,0.0,0.21094606686301143,0.0,0.0,0.30255562947341214,0.32517830286286853,0.0,0.0
Cal Quantrill,0.0,0.0,0.33685457290435045,0.5701909328695934,-0.6548012302012917,0.38754085736293237,0.0,0.3200433164653452,0.04540150067358459,0.0,0.0
Carlos Rodón,-0.6774715871196144,0.0,0.08609330673293918,0.0,0.8370589368682028,0.0,0.0,0.34331982657696636,0.4029403394147423,0.0,0.0
Casey Mize,0.0,0.0,0.0,0.0,0.49530570418719977,0.16785203274606741,0.0,-0.0008659240569971749,0.1936021177965996,0.0,0.14410606932713035
Charlie Morton,0.21976058980006574,0.0,-0.20139985809338917,0.16454664385337892,0.6015490345834826,0.0,0.0,0.21554358985646205,0.0,0.0,0.0
