pitcher_name,CH,CS,CU,FC,FF,FS,KC,SI,SL,ST,SV
Andre Pallante,0.0,0.0,0.0,0.0,0.3139616402445055,0.0,0.09299675183854879,0.13266598461635645,0.20786972538714327,0.0,0.0
Andrew Abbott,0.07993603343265263,0.0,0.04883033558348141,0.024792125707237656,0.12891571455675008,0.0,0.0,0.0,0.0,0.08359403313526625,0.0
Andrew Heaney,0.1300453280596456,0.07421277954888125,0.22617508433891442,0.0,0.16970505330196042,0.0,0.0,0.08318437126528228,0.19081831644321856,0.0,0.0
Antonio Senzatela,0.06354254354950928,0.0,0.08237236022555934,0.02984275541745279,0.26728349832552295,0.0,0.0,0.0,0.17790752974958937,0.0,0.0
Bailey Ober,0.1122093213118431,0.0,0.020738288192386007,0.0,0.12001096811838571,0.0,0.0,0.02430453368683145,0.06662151657166075,0.04383609824575646,0.0
Brad Lord,0.45278380217806474,0.0,0.0,0.0,0.3174589589347705,0.0,0.0,0.1706606239832488,0.12830416923066001,0.0,0.0
Brady Singer,0.0,0.0,0.0,0.043362049351000236,0.0537383037806865,0.0,0.0,0.10444983029957658,0.05858890510588503,0.054191221395424545,0.0
Brandon Pfaadt,0.09746323430079405,0.0,0.06391587712408527,0.0731652206319515,0.17548293987536992,0.0,0.0,0.18440234520640394,0.0,0.38041289043949683,0.0
Brayan Bello,0.06644988024189194,0.0,0.0,0.04144713350130301,0.0660219363904389,0.0,0.0,0.10491604277760676,0.0,0.08785527175063054,0.0
Bryan Woo,0.04807226247949238,0.0,0.0,0.0,0.09991618252304779,0.0,0.0,0.07629051996598546,0.08307470253772183,0.04274190423447258,0.0
Bryce Elder,0.0488612683788168,0.0,0.0,0.0,0.05601516549660294,0.0,0.0,0.09640032824770593,0.08049540438559233,0.0,0.0
Cal Quantrill,0.0,0.0,0.10944083706633201,0.184825777118228,0.44889017406505444,0.11053185408246237,0.0,0.17599924883825177,0.049638060793199414,0.0,0.0
Carlos Rodón,0.38809979679975665,0.0,0.06300814212208673,0.0,0.26455091072740156,0.0,0.0,0.08890756926956747,0.14728772494429795,0.0,0.0
Casey Mize,0.0,0.0,0.0,0.0,0.10955953495861265,0.11171024195664583,0.0,0.06497219024385303,0.0638345396443665,0.0,0.09537598473115902
Charlie Morton,0.10160220513711045,0.0,0.3984631888532594,0.08593919891881449,0.1746773921279863,0.0,0.0,0.10811130635463728,0.0,0.0,0.0
