pitcher_name,CH,CS,CU,FC,FF,FS,KC,SI,SL,ST,SV
Andrew Abbott,0.04526468590309415,0.0,0.04118509805550465,-0.0025781454007398627,-0.12607618195056647,0.0,0.0,0.0,0.0,0.042204543392707475,0.0
Andrew Heaney,-0.021675555705457882,0.02803882803142841,-0.033877346259939295,0.0,0.02599381827053914,0.0,0.0,-0.019669100533203445,0.021189356196633116,0.0,0.0
Antonio Senzatela,-0.1174070565212202,0.0,0.09103186864762719,-0.0038405825868971983,-0.0051068675754310814,0.0,0.0,0.0,0.04100748761836247,0.0,0.0
Bailey Ober,0.042056419224323786,0.0,0.0075003327748189765,0.0,-0.009651548967619508,0.0,0.0,-0.0005128290797918484,-0.013753009669404298,-0.0256393642823269,0.0
Brad Lord,-0.002905507800244691,0.0,0.0,0.0,0.021222971437318116,0.0,0.0,-0.08953976522494275,0.06820908584982377,0.0,0.0
Brady Singer,0.0,0.0,0.0,-0.01608355375887295,0.07936905742975937,0.0,0.0,-0.0368164471515738,0.003910790022300987,-0.030379846541613617,0.0
Brandon Pfaadt,-0.05858232664726135,0.0,0.01883841961387564,-0.015825997068761297,0.05798911139507994,0.0,0.0,-0.003595948722720976,0.0,-0.0006066662403090952,0.0
Brayan Bello,0.03802470944010215,0.0,0.0,0.0121044800852888,0.005191640353686601,0.0,0.0,-0.09239914869453683,0.0,0.03707831881545922,0.0
Bryan Woo,-0.0441273059197693,0.0,0.0,0.0,0.128425735126966,0.0,0.0,-0.07013120464446158,-0.005243864635391208,-0.008923359927344025,0.0
Bryce Elder,-0.005189503499157192,0.0,0.0,0.0,-0.0319863829377259,0.0,0.0,-0.13831779230970762,0.17549367874658994,0.0,0.0
Cal Quantrill,0.0,0.0,-0.14687588813418292,0.048983325289535536,0.1469185990700741,-0.05331573914297748,0.0,0.060096793824635945,-0.057317235577277255,0.0,0.0
Carlos Rodón,-0.033054031743624084,0.0,0.007923842579783853,0.0,-0.07243837386886989,0.0,0.0,0.000489025656557012,0.09680475696922633,0.0,0.0
Charlie Morton,0.0419611703800125,0.0,0.1010599553683658,-0.015352477156476406,-0.06580363521314449,0.0,0.0,-0.061865013378757425,0.0,0.0,0.0
Chris Bassitt,-0.06970691396540724,0.0,-0.04048284732367759,-0.010074402906938448,-0.054491557682750526,0.030322490776408924,0.0,0.0763276255340037,0.0373441986750469,0.030761406893314826,0.0
Chris Paddack,-0.027948643535769407,0.0,0.06579208949557286,0.00681849283763887,-0.031285625482252825,0.0,0.0,-0.007394140148422935,-0.005982173166766426,0.0,0.0
Clay Holmes,-0.04200057992023041,0.0,0.0,0.02690814557432759,0.02751355382608007,0.0,0.0,-0.07451340847743919,0.014634691186204647,0.04745759781105653,0.0
Colin Rea,0.0,0.0,0.08693109201958765,0.0052760594855472765,0.012687001699304921,-0.1322215229843131,0.0,-0.01856095799552992,0.015525484282269644,0.03580679943550828,0.0
David Peterson,0.03581565103428705,0.0,0.043437996204922925,0.0,0.03584240690204006,0.0,0.0,-0.11936731614331343,0.004271262002063383,0.0,0.0
Davis Martin,0.07835212774579843,0.0,0.032499476794789976,0.005917286504975767,-0.11123061281909971,0.0,0.0,0.012975449166968838,-0.010032318537002717,-0.010166008214898723,0.0
Dean Kremer,0.0,0.0,-0.04087695269336275,0.01207846855740456,0.046614064276599344,-0.0017682035834321853,0.0,-0.017547910736831557,0.0,0.0,0.0
Drew Rasmussen,0.0,0.0,0.05361077304995704,-0.10895535984157091,-0.14008083573554847,0.0,0.0,0.1230941892009755,0.0,0.033879226785159366,0.0
Dustin May,0.0,0.0,0.0,-0.05871363475401526,-0.12632658950558243,0.0,0.0,0.15240293775606903,0.0,0.2553338107947517,0.0
Dylan Cease,-0.22275626595348846,0.0,0.0,0.0,0.020344092810215906,0.0,0.09336694380076704,0.014702632234649998,0.08667169597702036,0.007670901130835086,0.0
Eduardo Rodriguez,-0.11148536608155205,0.0,0.009296824376265193,-0.08408152346504477,0.19482691328538873,0.0,0.0,-0.003279824093660312,-0.004466738318637407,0.0,0.0
Edward Cabrera,0.0807226670784359,0.0,-0.11948897425415146,0.0,0.08064563276896222,0.0,0.0,-0.06028255949576795,0.018403233902521323,0.0,0.0
Erick Fedde,0.012823429183265385,0.0,0.0,-0.11385116425576727,0.0,0.0,0.0,-0.044866860228479105,0.0,0.1804594667617133,0.0
Framber Valdez,0.04565253111146803,0.0,0.07077535694321316,0.0,0.0,0.0,0.0,-0.05349931705904425,-0.05747666719512178,0.0,0.0
Freddy Peralta,-0.0988283052939318,-0.007021775648168097,0.033045817816014754,0.0,0.05412912658520383,0.0,0.0,0.0,0.026003138129910366,-0.007328001589028824,0.0
Garrett Crochet,-0.04018836596096156,0.0,0.0,-0.015745396896499446,0.026412652377263,0.0,0.0,4.384022147111425e-05,0.0,0.028330162908748284,0.0
Gavin Williams,0.0,0.0,0.2334334846786454,0.15330514613737453,-0.12061313987355021,0.0,0.0,0.040266788829521484,0.0,-0.30657573398684407,0.0
Germán Márquez,0.003637257620621305,0.0,0.0,0.0,0.04291949007779127,0.0,-0.01074568596939797,-0.033250996463708084,-0.0025600652653072686,0.0,0.0
Hunter Brown,-0.1008641694684895,0.0,0.0,-0.016184043570074705,0.20114004865318846,0.0,-0.054309512812346264,-0.03633312067193288,0.0065507978696540195,0.0,0.0
JP Sears,-0.09377800387559411,0.0,0.004717071472054239,0.0,0.03320018065938165,0.0,0.0,-0.05733461398867072,0.05335303812506447,0.04916786042279444,0.0
Jack Flaherty,-0.03841479792598492,0.0,0.0,0.0,-0.11258026913886712,0.0,0.14796108526492,-0.020631793509424446,0.023665775309356988,0.0,0.0
Jack Leiter,0.05552133273010186,0.0,0.006053301440864521,0.0,-0.028621045577410523,0.0,0.0,-0.09741623960082141,0.06464334542729115,0.0,0.0
Jacob deGrom,-0.025817840460136673,0.0,0.025360583032443124,0.0,-0.039035090039226984,0.0,0.0,0.0,0.03949234746692082,0.0,0.0
Jake Irvin,-0.17075143920828498,0.0,-0.01307099677928853,-0.02647521226352566,0.23361428184695804,0.0,0.0,-0.022687185915440205,-0.002287503289423458,0.0,0.0
Jeffrey Springs,-0.01404442652278424,0.0,0.0,0.005029336820223714,-0.0016223912575440698,0.0,0.0,0.0,0.008214055689854642,0.0024234252702502717,0.0
Jesús Luzardo,-0.07171639665015622,0.0,0.0,0.0,0.04724547895980464,0.0,0.0,-0.013581182252870626,-0.00502351915719894,0.04307561910042115,0.0
Jose Quintana,-0.027419754530639207,0.0,0.044594925770668536,0.0,0.010026717867740962,0.0,0.0,-0.042485965462317116,0.0,0.0,0.015284076354546627
José Berríos,-0.08957567602357062,0.0,0.0,0.007031375267666194,0.010633618086346932,0.0,0.0,0.06636721936934048,0.0,0.0,0.0031329827791964273
José Soriano,0.0,0.0,0.0,0.0,0.19784525743012052,0.15135324428071906,0.24653634199903574,-0.4696105404126764,-0.027347599295772095,0.0,0.0
Justin Verlander,-0.09081907774820067,0.0,-0.025013202943720447,0.0,0.11114707302794179,0.0,0.0,0.0,0.018407032856640568,-0.015573519907581051,0.0
Kyle Freeland,-0.010925261725729959,0.0,0.0,0.024904831159065926,-0.07521041335592613,0.0,0.14465432526210095,-0.0658066116839695,0.0,-0.01761686965554057,0.0
Kyle Hendricks,-0.10483048807558945,0.0,0.020807085920107347,0.0,-0.0014872599370719629,0.0,0.0,0.08543044606805916,0.0,0.0,0.0
Logan Allen,-0.08772956550101273,0.0,0.0,0.05659070186343731,0.09814341497313547,0.0,0.0,-0.009805861821443773,0.0,-0.06062465095683956,0.0
Logan Gilbert,0.0,0.0,-0.012473766375858307,0.0,0.09999039898738737,-0.14094486446037027,0.0,0.0,0.043097786478536494,0.0,0.0
Logan Webb,-0.06344575038410076,0.0,0.0,0.014149167517817881,0.01363096497121866,0.0,0.0,-0.01922941026853009,0.0,0.05489502816359404,0.0
Lucas Giolito,-0.005651871751061258,0.0,0.0005673754653302683,0.0,-0.03934822974781128,0.0,0.0,0.0,0.04241573552950875,0.0,0.0
Luis Castillo,-0.1036838999039517,0.0,0.0,0.0,0.11418219439901686,0.0,0.0,0.00011195325799261177,-0.010610247753058103,0.0,0.0
Luis Severino,-0.1658363792952204,0.0,0.0,-0.0947168846757503,0.13388449845471367,0.0,0.0,0.012941338480602598,0.011649422822182069,0.10207800421347242,0.0
MacKenzie Gore,0.0217479127205774,0.0,-0.025565479882345466,-0.028426350802102294,0.046740207783329074,0.0,0.0,0.0,-0.01449628981945944,0.0,0.0
Matthew Boyd,0.04249356772420441,0.0,0.08575644525469964,0.0,-0.19712523070688112,0.0,0.0,-0.020513197782659098,0.08938841551063706,0.0,0.0
Matthew Liberatore,0.13156054782613993,0.0,0.055691351299876846,-0.08870659206707192,-0.2034217728611652,0.0,0.0,0.0247457711905567,0.08062232870564173,0.0,0.0
Max Fried,-0.04092233526676878,0.0,0.002267484697357498,0.021131280554233012,0.011909255577218397,0.0,0.0,0.036831321800087524,-0.014227093529050775,-0.016989913833077304,0.0
Merrill Kelly,0.011101825588568716,0.0,0.05894462610061402,-0.0059242359204918936,-0.007303225860693952,0.0,0.0,-0.05422882562730914,-0.0025901642806877858,0.0,0.0
