pitcher_name,CH,CS,CU,FC,FF,FS,KC,SI,SL,ST,SV
Andre Pallante,0.0,0.0,0.0,0.0,0.015628242005281772,0.0,0.02834394467612006,0.03671432949977175,-0.08225827577744371,0.0,0.0
Andrew Heaney,-0.03298911209861271,0.007769080980183159,-0.026307353878761434,0.0,-0.031002737104457778,0.0,0.0,-0.034011721907283875,0.1165418440089325,0.0,0.0
Antonio Senzatela,-0.11406142418884753,0.0,0.02668257942300065,-0.006379828516846197,0.01330597348759339,0.0,0.0,0.0,0.08450138386594026,0.0,0.0
Bailey Ober,0.04794738246380842,0.0,-0.009208703475054916,0.0,-0.022588995057865827,0.0,0.0,0.0021288054056127965,0.00438548926027566,-0.02266397859677629,0.0
Brad Lord,0.001018763201683414,0.0,0.0,0.0,-0.07763087228076895,0.0,0.0,-0.05392428214297299,0.12486516394165591,0.0,0.0
Brady Singer,0.0,0.0,0.0,-0.021148031036639203,-0.010199870156530474,0.0,0.0,0.0017405154205846895,0.04390541859366425,-0.014298032821079087,0.0
Bryan Woo,-0.029090655308687416,0.0,0.0,0.0,-0.06446803888896722,0.0,0.0,0.008614205771419742,0.04136381298263917,0.04358067544359535,0.0
Bryce Elder,-0.034233798156694466,0.0,0.0,0.0,-0.08037662156269212,0.0,0.0,-0.05677010671350287,0.17138052643288906,0.0,0.0
Cal Quantrill,0.0,0.0,-0.12658581172231093,-0.024821219013355142,0.21354432766398848,-0.09110931920695331,0.0,0.13709874659277022,-0.1079047467034395,0.0,0.0
Carlos Rodón,-0.036811788058849985,0.0,0.0003570988755086286,0.0,-0.017511889398548527,0.0,0.0,0.007406513024334564,0.045652540245815214,0.0,0.0
Casey Mize,0.0,0.0,0.0,0.0,0.04643737223967871,0.06125294258642951,0.0,-0.015260749438819745,-0.0450829933319622,0.0,-0.047346572055326316
Chris Bassitt,-0.06214602443472749,0.0,-0.12337386333735095,-0.03565357517881254,-0.04667906817187305,0.052016507814749036,0.0,0.10237246400620159,0.08369589579335251,0.029767663508460444,0.0
Chris Paddack,0.004072799837717614,0.0,0.05209048018345625,-0.12221960800314365,-0.038301837129757516,0.0,0.0,-0.020026005919606106,0.12438417103133412,0.0,0.0
Clay Holmes,-0.08906251477390524,0.0,0.0,-0.07995612295520572,-0.007769571393619836,0.0,0.0,0.027294486033542783,0.14953349556670892,-3.9772477520969155e-05,0.0
Colin Rea,0.0,0.0,0.054471083033939174,-0.007239247775969746,0.0708609799786297,-0.13834145619955868,0.0,-0.04895351753565956,0.04390391240203676,0.03053227361883295,0.0
Cristopher Sánchez,-0.013294807679881435,0.0,0.0,0.0,0.0,0.0,0.0,-0.03114826161059632,0.044443069290477324,0.0,0.0
David Peterson,-0.0276383157805485,0.0,-0.0011433751876085505,0.0,0.03173031350907223,0.0,0.0,-0.044389405606778114,0.04144078306586324,0.0,0.0
Davis Martin,0.08802352557996991,0.0,0.00907350635684372,-0.008909626424695114,-0.07114708768944447,0.0,0.0,0.07337550940327348,-0.044283011005944846,-0.046721896242369165,0.0
Dean Kremer,0.0,0.0,-0.05302658545166888,0.16376956614266214,-0.13399458198228756,-0.15689645682624792,0.0,0.17717680084127854,0.0,0.0,0.0
Drew Rasmussen,0.0,0.0,0.02383964574851388,-0.46604706947790664,0.3962432587070063,0.0,0.0,-0.012121749054916366,0.0,0.041197897142661456,0.0
Dylan Cease,-0.21968395765283488,0.0,0.0,0.0,-0.11971882902191298,0.0,0.04028230064752024,0.02113717288463368,0.27912223892488613,-0.0011389257822925452,0.0
Eduardo Rodriguez,-0.1514734544022477,0.0,-0.0561462745490135,-0.06351404766649668,0.05216009403937102,0.0,0.0,0.055511872408168156,0.16452535548956995,0.0,0.0
Edward Cabrera,0.07844331667510976,0.0,-0.07137866687293723,0.0,-0.005805278469401492,0.0,0.0,0.0349617814578274,-0.03622115279059839,0.0,0.0
Framber Valdez,-0.10409480928939513,0.0,-0.2503934273129483,0.0,0.0,0.0,0.0,0.16985127915714712,0.18843680923455197,0.0,0.0
Freddy Peralta,-0.09896759173465591,-0.012341592657539304,-0.023783658730600097,0.0,-0.02978110343229294,0.0,0.0,0.0,0.17083981355050348,-0.005965866995415226,0.0
Germán Márquez,-0.015537076022524405,0.0,0.0,0.0,0.03246894727867596,0.0,-0.13891116305589524,-0.01048083459141819,0.13246012639116161,0.0,0.0
Hunter Brown,-0.04542121773817597,0.0,0.0,-0.010422224175951515,-0.005928187425111669,0.0,0.04995155147661397,-0.06660786810744462,0.07842794597006902,0.0,0.0
JP Sears,-0.09343364927572197,0.0,-0.04839000603908517,0.0,-0.01227508429255933,0.0,0.0,-0.024002786351610402,0.22361935834178176,-0.04566873183524713,0.0
Jack Flaherty,-0.01694808569125309,0.0,0.0,0.0,-0.03613844578777179,0.0,0.09638953656495877,-0.014825966309936166,-0.02847703877599763,0.0,0.0
Jack Leiter,-0.020471072254169265,0.0,-0.03705154005745444,0.0,0.09534126104812925,0.0,0.0,-0.04448862467095244,0.007001175091080319,0.0,0.0
Jacob deGrom,-0.025305580426146678,0.0,0.01104857865457861,0.0,0.004823532756333505,0.0,0.0,0.0,0.009433469015234827,0.0,0.0
Jake Irvin,-0.19389096490006894,0.0,-0.1065255246959513,-0.05047555496964625,0.24236641498050526,0.0,0.0,0.0040769704093806475,0.10369586076466723,0.0,0.0
Jeffrey Springs,0.042198388472258055,0.0,0.0,-0.01698763087563267,-0.08909293734209511,0.0,0.0,0.0,0.060169440466533476,0.003712739278936506,0.0
Jesús Luzardo,-0.07263370715542497,0.0,0.0,0.0,0.06848706413228084,0.0,0.0,-0.004254101590863718,0.09368727087501172,-0.08528652626100336,0.0
Joe Ryan,0.0,0.0,0.0,0.0,-0.15376624579418763,0.006574843235096672,0.009661616246978949,0.043571930468193125,0.06864825188218684,0.026297823947483107,0.0
José Soriano,0.0,0.0,0.0,0.0,0.11420766274655246,0.15513699510339596,0.1928849602593698,-0.42080972503947073,0.05104286122411167,0.0,0.0
Justin Verlander,-0.12552349612942867,0.0,-0.036253399233001166,0.0,-0.08621270487634215,0.0,0.0,0.0,0.2738398365148908,-0.02992402240137271,0.0
Kevin Gausman,0.0,0.0,0.0,0.0,-0.12251021001033925,0.0422190641493859,0.0,0.0,0.07982321013143158,0.0,0.0
Logan Allen,-0.18445805786799033,0.0,0.0,0.0026888555263002495,0.08911794120711328,0.0,0.0,-0.19624910043871402,0.0,0.28769630466047513,0.0
Logan Gilbert,0.0,0.0,0.06388926022361989,0.0,0.022678814033108355,-0.17575953179569317,0.0,0.0,0.08949647865181606,0.0,0.0
Lucas Giolito,0.006780337999537798,0.0,-0.005106773474691318,0.0,-0.043335641964166234,0.0,0.0,0.0,0.041388706172943,0.0,0.0
Luis Castillo,-0.13234963234775232,0.0,0.0,0.0,0.0011995219375040588,0.0,0.0,0.005867738245491208,0.12528237216475646,0.0,0.0
Luis Severino,-0.12772801844678755,0.0,0.0,-0.1118019750081507,-0.020519084064718723,0.0,0.0,0.08084149396260347,0.006934433404094639,0.17227315015295902,0.0
MacKenzie Gore,0.039196113657043806,0.0,-0.014928122050027583,-0.041295961407236674,-0.03609241604441058,0.0,0.0,0.0,0.05312038584463074,0.0,0.0
Matthew Boyd,0.06640014644322159,0.0,0.05193352197895275,0.0,-0.10223759484321394,0.0,0.0,-0.0037622681459983298,-0.012333805432962603,0.0,0.0
Matthew Liberatore,0.13304405139293846,0.0,-0.010162668109404168,-0.09269326662947326,-0.031152281455342466,0.0,0.0,0.044646728472133655,-0.043257534926066384,0.0,0.0
Max Fried,0.027493599057053973,0.0,-0.07735291907972988,-0.08992557376776755,-0.020390304649846074,0.0,0.0,0.06383484451230527,0.08899282532229541,0.007347528605689644,0.0
Merrill Kelly,0.013244561784623148,0.0,0.009947672120565758,-0.0802626948769089,-0.02008282197585496,0.0,0.0,0.07525447907946153,0.0018988038681133142,0.0,0.0
Michael Lorenzen,0.0758455545220193,0.0,-0.03803700940790841,0.0037359707626939322,-0.04264842725428116,0.0,0.0,0.018293496457088734,-0.04280093160727754,0.025611346527665103,0.0
Michael Wacha,0.11041980865191056,0.0,0.00999684123346865,-0.07335056407457165,0.008116780124293092,0.0,0.0,-0.03663096088648128,-0.018551905048618967,0.0,0.0
Miles Mikolas,0.1291827064927382,0.0,0.09938938051013725,0.0,-0.17180023632751668,0.0,0.0,0.06826217278026471,-0.12527488466977688,0.00522195817485579,0.0
Mitch Keller,-0.025290693153572862,0.0,0.02760897646560502,0.0,-0.06781625807670297,0.0,0.0,-0.0415673359998963,0.0870554697924889,0.025611183010487756,0.0
Mitchell Parker,0.0,0.0,-0.09944863235380075,0.0,-0.0006271319319798558,-0.08409224533622828,0.0,0.0,0.18416800962200877,0.0,0.0
Nick Martinez,0.08252899687691581,0.0,-0.005504296500446369,-0.11607723305075503,-0.030021230599021117,0.0,0.0,0.037895631657808536,0.03154159806481342,0.0,0.0
Nick Pivetta,0.0,0.0,-0.05739275781003811,-0.027110344116429513,0.01713624248309517,0.0,0.0,-0.03803417836611428,0.0,0.10741661733753234,0.0
Noah Cameron,0.07792998812013385,0.0,0.05806773012697541,-0.11461376857682726,0.03326863355108462,0.0,0.0,0.0,-0.05465258322136648,0.0,0.0
Patrick Corbin,0.054944810497831495,0.0,0.0,-0.14914286094162438,-0.006569245241760295,0.0,0.0,0.10400126799089779,-0.007705561235261166,0.0,0.0
Paul Skenes,-0.007930781708984713,0.0,0.02689287633400215,0.0,-0.10687117909543237,0.04962483392048897,0.0,-0.009607966839639031,0.026126259174729244,0.021765958214835724,0.0
Quinn Priester,-0.09778314574347055,0.0,-0.03723863541220318,-0.09889196058364404,0.0,0.0,0.0,0.13509985535976532,0.09881388637955305,0.0,0.0
Randy Vásquez,-0.0016948651846321364,0.0,0.15566149118355255,-0.19981903832039824,-0.11266186170119419,0.0,0.0,0.11015806212408434,0.10896888884050854,-0.06061267694192112,0.0
Ranger Suarez,-0.06646709703162668,0.0,0.04422634663620499,-0.05193551525540873,-0.0530916984055632,0.0,0.0,0.027149660843037014,0.10011830321335763,0.0,0.0
Robbie Ray,-0.2019220673189984,0.0,0.0,0.0,-0.05281564681050983,0.0,-0.008382042474770061,0.0,0.269571247192907,0.0,0.0
Ryan Pepiot,0.14486580077790054,0.0,0.0029737403721702585,-0.053526226727992635,-0.04357528591228828,0.0,0.0,0.025577916039014655,-0.07888403207590519,0.0,0.0
Ryne Nelson,-0.10007817224625114,0.0,0.04800485001607729,-0.05726137816592134,-0.027357071684847176,0.0,0.0,0.0,0.13669177208094188,0.0,0.0
Sandy Alcantara,-0.0038369892617255183,0.0,0.0,-0.05971474394890125,-0.0285315745799493,0.0,0.0,-0.0010625665025256479,0.09314587429310169,0.0,0.0
Sean Burke,-0.05769228222466781,0.0,0.0,0.0,-0.05886143288433257,0.0,0.03525721677231246,0.03926718810498267,0.04202931023170577,0.0,0.0
Seth Lugo,-0.002550280568301838,0.03479298380400324,0.07267928708745226,-0.10470976772514208,-0.02652883245627037,0.0,0.0,0.04278002189802168,-0.004121272694662517,0.0076512289108741655,-0.028462368112221526
Shane Baz,0.0019155132373661057,0.0,0.0,-0.1977270096017926,-0.07833217735062985,0.0,0.10147441802540948,0.0,0.17266925568964664,0.0,0.0
Shane Smith,-0.0014122519210950748,0.0,-0.045400694692083035,0.0,0.08534174485196866,0.0,0.0,-0.02110931436239036,-0.018026628132060102,0.0,0.0
Shota Imanaga,0.0,0.0,0.015827667521261087,0.0,0.1779653734460216,-0.5082989298898116,0.0,0.0,0.0,0.10245921720091077,0.0
Slade Cecconi,-0.08162444823192873,0.0,0.11004269968015479,-0.04227813673771256,-0.14131920854320026,0.0,0.0,0.01874962914475886,0.12806760148806795,0.0,0.0
Sonny Gray,0.11905998148518052,0.0,0.025220450974664754,-0.14859000146705287,-0.04224947825763896,0.0,0.0,0.05284341441879243,0.08203717032346383,-0.09000591879889468,0.0
Spencer Strider,-0.09754106579959945,0.0,0.14117462162273148,0.0,-0.34554597353125305,0.0,0.0,0.0,0.3019124177081208,0.0,0.0
Taijuan Walker,0.0,0.0,-0.006429717879516467,-0.008785249815923565,0.10670424243501397,-0.10038019647276099,0.0,-0.027497858495492217,0.036388780228679245,0.0,0.0
Tarik Skubal,0.09108483211172097,0.0,0.00014947732917834628,0.0,-0.052229643312378005,0.0,0.0,0.005490678302352863,-0.04462726934892924,0.0,0.0
Tyler Anderson,0.22312287153944696,0.0,0.0,-0.0893732164430712,-0.24695581678029938,0.0,0.0,0.05091705708581482,0.06991391804256002,0.0,0.0
Walker Buehler,0.01350813141853619,0.0,0.0,-0.11173820211057807,-0.04605538676098571,0.0,0.001192784203705488,0.1373479114130035,0.0631054626309531,-0.0573607007946346,0.0
Yoshinobu Yamamoto,0.0,0.0,-0.07313128536279126,-0.05428047067690088,-0.053585121839489464,-0.026018720981176392,0.0,0.10040632575350958,0.10758201267221937,0.0,0.0
Yusei Kikuchi,-0.12453433632063059,0.0,0.12721414936390388,0.0,-0.1469476594157837,0.0,0.0,-0.0171579106650056,0.16166983611371563,0.0,0.0
Zac Gallen,-0.08288028425861514,0.0,0.0,0.0,-0.0749086795208284,0.0,0.050004491355152225,-0.010063256516182483,0.11380633952037375,0.0,0.0
Zack Littell,0.0,0.0,0.0,0.0,0.027489145973792213,0.024591648423271332,0.0,0.09413183610208417,-0.15050741050844266,0.004294780009294874,0.0
