pitcher_name,target_pitch_type,target_pitch_label,feature,beta,n_rows,target_rate
Andre Pallante,FF,4-seam fastball (FF),intercept,0.09413068565503291,2720,0.44080882352941175
Andre Pallante,FF,4-seam fastball (FF),count_0-1,0.5265774166508362,2720,0.44080882352941175
Andre Pallante,FF,4-seam fastball (FF),count_0-2,0.31295236901206536,2720,0.44080882352941175
Andre Pallante,FF,4-seam fastball (FF),count_1-0,0.6047338083305059,2720,0.44080882352941175
Andre Pallante,FF,4-seam fastball (FF),count_1-1,0.4069968350501522,2720,0.44080882352941175
Andre Pallante,FF,4-seam fastball (FF),count_1-2,0.2954767141870761,2720,0.44080882352941175
Andre Pallante,FF,4-seam fastball (FF),count_2-0,0.6529706259824365,2720,0.44080882352941175
Andre Pallante,FF,4-seam fastball (FF),count_2-1,0.5681009838093518,2720,0.44080882352941175
Andre Pallante,FF,4-seam fastball (FF),count_2-2,0.39773401240897804,2720,0.44080882352941175
Andre Pallante,FF,4-seam fastball (FF),count_3-0,0.8252548871441099,2720,0.44080882352941175
Andre Pallante,FF,4-seam fastball (FF),count_3-1,0.7249356824045441,2720,0.44080882352941175
Andre Pallante,FF,4-seam fastball (FF),count_3-2,0.5858741211177676,2720,0.44080882352941175
Andre Pallante,FF,4-seam fastball (FF),prev_pitch_type_KC,0.022698900556637768,2720,0.44080882352941175
Andre Pallante,FF,4-seam fastball (FF),prev_pitch_type_SI,-0.04342671992453953,2720,0.44080882352941175
Andre Pallante,FF,4-seam fastball (FF),prev_pitch_type_SL,0.015628242005281772,2720,0.44080882352941175
Andre Pallante,FF,4-seam fastball (FF),prev_pitch_type_ST,-0.12004763122105014,2720,0.44080882352941175
Andre Pallante,FF,4-seam fastball (FF),prev_pitch_type_START,0.6449446944521532,2720,0.44080882352941175
Andre Pallante,FF,4-seam fastball (FF),stand_R,-0.34380918843800096,2720,0.44080882352941175
Andre Pallante,FF,4-seam fastball (FF),prev_description_ball,0.055966739482481084,2720,0.44080882352941175
Andre Pallante,FF,4-seam fastball (FF),prev_description_blocked_ball,-0.004892027703728021,2720,0.44080882352941175
Andre Pallante,FF,4-seam fastball (FF),prev_description_called_strike,-0.1264254673619283,2720,0.44080882352941175
Andre Pallante,FF,4-seam fastball (FF),prev_description_foul,-0.008918172561024718,2720,0.44080882352941175
Andre Pallante,FF,4-seam fastball (FF),prev_description_foul_bunt,-0.12066533198002154,2720,0.44080882352941175
Andre Pallante,FF,4-seam fastball (FF),prev_description_foul_tip,-0.08784229477097126,2720,0.44080882352941175
Andre Pallante,FF,4-seam fastball (FF),prev_description_swinging_strike,-0.0887022207909671,2720,0.44080882352941175
Andre Pallante,FF,4-seam fastball (FF),prev_description_swinging_strike_blocked,-0.2634659187660288,2720,0.44080882352941175
Andre Pallante,SL,slider (SL),intercept,0.5192612850506022,2720,0.28455882352941175
Andre Pallante,SL,slider (SL),count_0-1,-0.4179997183175498,2720,0.28455882352941175
Andre Pallante,SL,slider (SL),count_0-2,-0.3474392420047202,2720,0.28455882352941175
Andre Pallante,SL,slider (SL),count_1-0,-0.3022528611428703,2720,0.28455882352941175
Andre Pallante,SL,slider (SL),count_1-1,-0.2782943049400036,2720,0.28455882352941175
Andre Pallante,SL,slider (SL),count_1-2,-0.3128163087505965,2720,0.28455882352941175
Andre Pallante,SL,slider (SL),count_2-0,-0.28046282920475335,2720,0.28455882352941175
Andre Pallante,SL,slider (SL),count_2-1,-0.26386286313669505,2720,0.28455882352941175
Andre Pallante,SL,slider (SL),count_2-2,-0.26268555098726537,2720,0.28455882352941175
Andre Pallante,SL,slider (SL),count_3-0,-0.4447081785230734,2720,0.28455882352941175
Andre Pallante,SL,slider (SL),count_3-1,-0.41561337437345985,2720,0.28455882352941175
Andre Pallante,SL,slider (SL),count_3-2,-0.285412862717592,2720,0.28455882352941175
Andre Pallante,SL,slider (SL),prev_pitch_type_KC,0.018280837905124168,2720,0.28455882352941175
Andre Pallante,SL,slider (SL),prev_pitch_type_SI,0.06525164373955075,2720,0.28455882352941175
Andre Pallante,SL,slider (SL),prev_pitch_type_SL,-0.08225827577744371,2720,0.28455882352941175
Andre Pallante,SL,slider (SL),prev_pitch_type_ST,0.2930487289831032,2720,0.28455882352941175
Andre Pallante,SL,slider (SL),prev_pitch_type_START,-0.37578506739871187,2720,0.28455882352941175
Andre Pallante,SL,slider (SL),stand_R,0.15877664349113527,2720,0.28455882352941175
Andre Pallante,SL,slider (SL),prev_description_ball,-0.013037824574307213,2720,0.28455882352941175
Andre Pallante,SL,slider (SL),prev_description_blocked_ball,0.02145653994415513,2720,0.28455882352941175
