pitcher_name,pitch_type,pitches,avg_velocity,whiff_rate,weak_contact_rate,mean_pitcher_run_value,pitch_label,pitcher_total_pitches,usage_rate,in_arsenal,arsenal_size
Andre Pallante,FF,952,94.45126050420168,0.0661764705882353,0.13865546218487396,-0.007993697478991596,4-seam fastball (FF),2158,0.4411492122335496,True,4
Andre Pallante,SL,621,87.38454106280194,0.15458937198067632,0.09822866344605476,0.0036425120772946872,slider (SL),2158,0.28776645041705284,True,4
Andre Pallante,KC,305,78.1783606557377,0.12786885245901639,0.04590163934426229,-0.013914754098360654,knuckle curve (KC),2158,0.14133456904541242,True,4
Andre Pallante,SI,277,94.99025270758122,0.07220216606498195,0.17689530685920576,0.012873646209386283,sinker (SI),2158,0.1283595922150139,True,4
Andre Pallante,ST,3,82.96666666666667,0.0,0.0,-0.01966666666666667,sweeper (ST),2158,0.0013901760889712697,False,4
Andrew Abbott,FF,996,92.7909638554217,0.08734939759036145,0.10240963855421686,0.010581325301204819,4-seam fastball (FF),2123,0.4691474328780028,True,5
Andrew Abbott,CH,411,84.83552311435524,0.1411192214111922,0.16058394160583941,0.015734793187347933,changeup (CH),2123,0.19359397079604335,True,5
Andrew Abbott,ST,375,82.73333333333333,0.19733333333333333,0.10666666666666667,0.013498666666666667,sweeper (ST),2123,0.17663683466792274,True,5
Andrew Abbott,CU,248,80.58387096774193,0.07661290322580645,0.10080645161290322,-0.0026290322580645154,curveball (CU),2123,0.11681582666038624,True,5
Andrew Abbott,FC,93,88.63440860215054,0.11827956989247312,0.053763440860215055,-0.03396774193548387,cutter (FC),2123,0.04380593499764484,True,5
Andrew Heaney,FF,738,90.11422764227643,0.08672086720867209,0.0921409214092141,-0.017455284552845528,4-seam fastball (FF),1682,0.43876337693222356,True,6
Andrew Heaney,CH,287,82.02125435540069,0.0975609756097561,0.14982578397212543,-0.008264808362369336,changeup (CH),1682,0.17063020214030916,True,6
Andrew Heaney,SL,284,80.59401408450705,0.15140845070422534,0.08098591549295775,-0.015588028169014086,slider (SL),1682,0.16884661117717004,True,6
Andrew Heaney,SI,188,89.20159574468086,0.047872340425531915,0.14893617021276595,0.002420212765957447,sinker (SI),1682,0.1117717003567182,True,6
Andrew Heaney,CS,94,73.5127659574468,0.09574468085106383,0.05319148936170213,-0.022244680851063826,CS (CS),1682,0.0558858501783591,True,6
Andrew Heaney,CU,91,76.86043956043956,0.07692307692307693,0.10989010989010989,-0.0035164835164835173,curveball (CU),1682,0.054102259215219974,True,6
Antonio Senzatela,FF,1057,94.99309366130558,0.06338694418164617,0.11163670766319773,-0.01749858088930937,4-seam fastball (FF),1822,0.5801317233809001,True,4
Antonio Senzatela,SL,323,86.77925696594427,0.12074303405572756,0.11455108359133127,-0.015207430340557276,slider (SL),1822,0.17727771679473106,True,4
Antonio Senzatela,CU,264,80.36136363636365,0.13257575757575757,0.10606060606060606,-0.0006174242424242421,curveball (CU),1822,0.14489571899012074,True,4
