model,dataset,rows,exact_accuracy,top2_accuracy,top3_accuracy,macro_f1,avg_probability_actual_pitch,avg_model_confidence,log_loss,learning_rate,max_iter,max_leaf_nodes,l2_regularization
pooled_hgb_tuned_4_arsenal_masked,2025_holdout,52324,0.4329561960094794,0.6982073235991132,0.8547893891904289,0.2797393038442274,0.3195193157128004,0.4399080624556045,1.3943537085044881,0.08,160,31,0.05
pooled_hgb_tuned_4,2025_holdout,52324,0.4329561960094794,0.6981117651555692,0.8540822567082027,0.2797403131137614,0.3076585102633091,0.4236911512619658,1.3690711075733295,0.08,160,31,0.05
pooled_hgb_tuned_2_arsenal_masked,2025_holdout,52324,0.43276507912239126,0.6989909028361746,0.8553627398516933,0.2711906651094307,0.3191133274324319,0.439161101254311,1.3942492211188158,0.07,180,31,0.02
pooled_hgb_tuned_2,2025_holdout,52324,0.43276507912239126,0.6988571210152129,0.8545027138597967,0.27119165446665794,0.30700745040460814,0.42264164165936996,1.3698738947214362,0.07,180,31,0.02
pooled_hgb_tuned_3_arsenal_masked,2025_holdout,52324,0.4308921336289275,0.696678388502408,0.8540440333307852,0.26906234520153693,0.31594503710649213,0.4337538689096673,1.397540236485482,0.05,180,31,0.02
pooled_hgb_tuned_3,2025_holdout,52324,0.4308921336289275,0.6965637183701552,0.8531457839614708,0.26906234520153693,0.30193059727348287,0.41468576380532896,1.3793145942985539,0.05,180,31,0.02
pooled_hgb_tuned_1_arsenal_masked,2025_holdout,52324,0.4288662946257931,0.6943276507912239,0.851999082638942,0.2664901838927646,0.3138070332718945,0.4320167345597788,1.4043274819869176,0.07,100,31,0.02
pooled_hgb_tuned_1,2025_holdout,52324,0.4288662946257931,0.6941556455928446,0.8506039293631985,0.2664911452449222,0.2984938463314362,0.4111446993644509,1.3903810503375158,0.07,100,31,0.02
pooled_hgb_tuned_4_arsenal_masked,2026_to_date,82282,0.3905106827738752,0.6422425317809485,0.8014632604943973,0.22807788678298888,0.29507729028344387,0.43524850305102125,2.4681689862531124,0.08,160,31,0.05
pooled_hgb_tuned_4,2026_to_date,82282,0.3904985294475098,0.6422425317809485,0.8012688072725505,0.2280749998385951,0.2845286053369454,0.41811093246844505,1.5227534433787677,0.08,160,31,0.05
pooled_hgb_tuned_2,2026_to_date,82282,0.38927104348460173,0.6427286648355655,0.8020101601808415,0.23559259553376186,0.284088683866711,0.4170444523517436,1.5206221043850554,0.07,180,31,0.02
pooled_hgb_tuned_2_arsenal_masked,2026_to_date,82282,0.38927104348460173,0.6426800515301038,0.8019980068544761,0.23559370372891555,0.29479209039251664,0.43446066082325163,2.4663963995881644,0.07,180,31,0.02
pooled_hgb_tuned_3_arsenal_masked,2026_to_date,82282,0.3890522836100241,0.6425828249191804,0.8006611409542792,0.2342637422305654,0.2923136995050999,0.4285131660238272,2.466230048248117,0.05,180,31,0.02
pooled_hgb_tuned_3,2026_to_date,82282,0.38904013028365864,0.6425828249191804,0.8003573077951436,0.23425947837324157,0.27987955606723974,0.4084837948044787,1.5216086922681644,0.05,180,31,0.02
pooled_hgb_tuned_1_arsenal_masked,2026_to_date,82282,0.3876060377725383,0.6412459590189835,0.799287815074986,0.2319036344939023,0.29060152150666635,0.426387807493858,2.469631868298269,0.07,100,31,0.02
pooled_hgb_tuned_1,2026_to_date,82282,0.38759388444617293,0.6412702656717143,0.7988502953258306,0.23189939219644076,0.2770041710243923,0.40451680106226445,1.5258362627758395,0.07,100,31,0.02
