feature,mean_abs_shap,pitch_types
Previous pitch: FF,0.015581945014738153,4
prev release speed,0.01263364869064679,4
Previous pitch: SI,0.012542289289367146,4
Previous pitch: SL,0.010441653456568249,4
Batter side: L,0.009812163435009558,4
strikes,0.008557213491712096,4
Batter side: R,0.00853583785254829,4
Two pitches ago: SI,0.007992478234539625,4
Previous pitch: CH,0.007497992947749744,4
balls,0.0073622072034149385,4
Two pitches ago: FF,0.006551162039755056,4
Two pitches ago: SL,0.00531704105809354,4
Previous result: START,0.005135874064426919,4
pitch number,0.004400382077757671,4
Two pitches ago: CH,0.004361755160884807,4
Previous pitch: FC,0.004034185365443303,4
Previous pitch: START,0.003618765888974289,4
Pitcher: Cristopher Sánchez,0.003617350740210273,4
Count: 0-0,0.003225816081144013,4
Previous pitch: ST,0.003048216465260519,4
Pitcher: Kyle Hendricks,0.0027098334872900105,4
Pitcher: Patrick Corbin,0.002700966024907479,4
Pitcher: Logan Webb,0.002680937978968806,4
Pitcher: Garrett Crochet,0.0026531460788467897,4
Base state: ---,0.0026501174809213145,4
Pitcher: Framber Valdez,0.002603382466672861,4
Count: 0-2,0.0025415591390628694,4
Previous pitch: FS,0.002334684636634036,4
score diff batting team,0.0022829249831048427,4
Pitcher: Brady Singer,0.0022117026836810383,4
Previous result: ball,0.0021194924535785395,4
Count: 1-2,0.002077651659314861,4
Pitcher: José Soriano,0.002017124425258395,4
Pitcher: Dylan Cease,0.0018026714401696872,4
Previous result: foul,0.0017993621750762591,4
Two pitches ago: START,0.0017523341570730025,4
Pitcher: Jacob deGrom,0.0015184574979028513,4
Pitcher: Erick Fedde,0.0014043075559299141,4
Pitcher: Yusei Kikuchi,0.00140116164218707,4
Pitcher: Gavin Williams,0.0013961905610800716,4
Pitcher: Quinn Priester,0.0013339657940185192,4
Count: 0-1,0.0013023581044965423,4
Two pitches ago: FS,0.0012778080378924095,4
Pitcher: Max Fried,0.0012673229364351668,4
Previous pitch: CU,0.0012633556900679978,4
Count: 1-1,0.0012436179198193674,4
Pitcher: Dean Kremer,0.0012161623412963562,4
Pitcher: Zack Wheeler,0.0012036965239779044,4
Two pitches ago: FC,0.0011850858676825404,4
Pitcher: Mitchell Parker,0.0011530527661940673,4
Pitcher: Tanner Bibee,0.0011364848765756462,4
Pitcher: Freddy Peralta,0.0010880700285125502,4
Count: 3-0,0.0010820017703717963,4
Pitcher: Chris Bassitt,0.001063044606583981,4
Pitcher: Zack Littell,0.0010274200019238537,4
Pitcher: Carlos Rodón,0.0010263951081486591,4
Pitcher: Yoshinobu Yamamoto,0.0010026776930267289,4
Pitcher: Andre Pallante,0.00099503321849217,4
