model,dataset,rows,exact_accuracy,top2_accuracy,top3_accuracy,macro_f1,avg_probability_actual_pitch,avg_model_confidence,log_loss,alpha,min_count,state_spec,arsenal_masked
state:pitcher_count_prev_stand:arsenal_masked,2025_holdout,52324,0.4229225594373519,0.6816948245546977,0.8422903447748643,0.2581001102517743,0.30607133387254826,0.4248730191159457,1.426194359530992,1.0,5,pitcher_count_prev_stand,True
state:pitcher_count_prev_stand,2025_holdout,52324,0.4229225594373519,0.6814654842901919,0.8389840226282395,0.25810847889829525,0.2565848624043287,0.3559716014084285,1.551083924423041,1.0,5,pitcher_count_prev_stand,False
state:pitcher_count_prev_stand:arsenal_masked,2025_holdout,52324,0.42074382692454704,0.6793631985322223,0.8395573732895039,0.25501726521851276,0.30732622990611735,0.42822673271813344,1.429496563169022,1.0,15,pitcher_count_prev_stand,True
state:pitcher_count_prev_stand,2025_holdout,52324,0.42074382692454704,0.6793631985322223,0.838926687562113,0.25501726521851276,0.26696780307284845,0.37207575825118394,1.5106961478063872,1.0,15,pitcher_count_prev_stand,False
state:pitcher_batter_count_prev_stand:arsenal_masked,2025_holdout,52324,0.41084397217338126,0.6600221695589022,0.8185918507759345,0.24378911672073486,0.29567086984755225,0.418426763014628,1.4691466649557505,1.0,15,pitcher_batter_count_prev_stand,True
state:pitcher_batter_count_prev_stand,2025_holdout,52324,0.41084397217338126,0.6600221695589022,0.8183051754453023,0.24378911672073486,0.265532246800391,0.3761795849027235,1.5157556992724164,1.0,15,pitcher_batter_count_prev_stand,False
state:pitcher_batter_count_prev_stand,2025_holdout,52324,0.4095634890298907,0.6587225747267028,0.8156486507147772,0.24790022256412675,0.2544357653340626,0.3594751807849843,1.5605065737844577,1.0,5,pitcher_batter_count_prev_stand,False
state:pitcher_batter_count_prev_stand:arsenal_masked,2025_holdout,52324,0.4095443773411819,0.6587990214815381,0.8182096170017583,0.24788411046806547,0.2935653301533351,0.41437989324551566,1.4716581642096118,1.0,5,pitcher_batter_count_prev_stand,True
state:pitcher_count_prev_stand:arsenal_masked,2026_to_date,82282,0.37421307211783866,0.6192241316448311,0.7833791108626431,0.2234036782239488,0.28269486092228285,0.4262805840307913,2.51489536652397,1.0,15,pitcher_count_prev_stand,True
state:pitcher_count_prev_stand,2026_to_date,82282,0.37421307211783866,0.6191512116866387,0.7823096181424856,0.22340471801285483,0.24654052501242701,0.3714648221452527,1.678637177734746,1.0,15,pitcher_count_prev_stand,False
state:pitcher_count_prev_stand:arsenal_masked,2026_to_date,82282,0.37410369218054984,0.6215211103278967,0.7836829440217787,0.22491290504155417,0.28114057030380146,0.42317838938405006,2.512610065534872,1.0,5,pitcher_count_prev_stand,True
state:pitcher_count_prev_stand,2026_to_date,82282,0.37410369218054984,0.6211686638632994,0.78001263945942,0.22490805206240994,0.2361631078820055,0.3546355306847045,1.7176395524297994,1.0,5,pitcher_count_prev_stand,False
state:pitcher_batter_count_prev_stand:arsenal_masked,2026_to_date,82282,0.3676624292068739,0.6014073551931164,0.7674582533239348,0.20660515467918555,0.27212629234486546,0.4164951200664764,2.5446615789376947,1.0,15,pitcher_batter_count_prev_stand,True
state:pitcher_batter_count_prev_stand,2026_to_date,82282,0.3676624292068739,0.6013465885612892,0.7669599669429523,0.20660615812999586,0.2448776455584769,0.3747410458165799,1.6850665734671617,1.0,15,pitcher_batter_count_prev_stand,False
state:pitcher_batter_count_prev_stand:arsenal_masked,2026_to_date,82282,0.3659852701684451,0.5994142096691865,0.7649182081135607,0.21019742552851614,0.2701800565562377,0.41318202366150125,2.5463426225396155,1.0,5,pitcher_batter_count_prev_stand,True
state:pitcher_batter_count_prev_stand,2026_to_date,82282,0.36597311684207967,0.5991711431418779,0.7625240028195717,0.21016669226359405,0.2354428922258723,0.35979705688810104,1.719545706393643,1.0,5,pitcher_batter_count_prev_stand,False
