season,pitch_type,share,pitch_label
2025,FF,0.3192034248146166,4-seam fastball (FF)
2025,SI,0.15812246770124608,sinker (SI)
2025,CH,0.11899319623881967,changeup (CH)
2025,SL,0.11737634737405397,slider (SL)
2025,CU,0.08039905206024005,curveball (CU)
2025,FC,0.07710801926458222,cutter (FC)
2025,ST,0.0636992584664781,sweeper (ST)
2025,FS,0.03276890146013302,splitter (FS)
2025,KC,0.025724333002064063,knuckle curve (KC)
2026 to date,FF,0.2982633107689316,4-seam fastball (FF)
2026 to date,SI,0.16129698722700922,sinker (SI)
2026 to date,CH,0.11917406997800274,changeup (CH)
2026 to date,SL,0.11084914259324527,slider (SL)
2026 to date,FC,0.09260722141876208,cutter (FC)
2026 to date,CU,0.07655287240377721,curveball (CU)
2026 to date,ST,0.0674744479418592,sweeper (ST)
2026 to date,FS,0.04074960805998809,splitter (FS)
2026 to date,KC,0.030273568051723928,knuckle curve (KC)
