pitch_type,pitches,mean_pitcher_run_value,whiff_or_weak_rate,pitch_label
ST,16665,0.0037024302430243025,0.251005100510051,sweeper (ST)
SI,41368,0.0027887014117192028,0.1856749178108683,sinker (SI)
CH,31131,0.0010465773666120588,0.28370434615013973,changeup (CH)
FC,20173,0.0009191989292618844,0.22356615277846625,cutter (FC)
FF,83510,0.0007392048856424377,0.1928152317087774,4-seam fastball (FF)
SL,30708,-0.0016343623811384657,0.2595740523642048,slider (SL)
FS,8573,-0.0023565846261518726,0.29289630234457015,splitter (FS)
KC,6730,-0.0023958395245170876,0.24160475482912333,knuckle curve (KC)
CU,21034,-0.0024203194827422266,0.21707711324522203,curveball (CU)
CS,310,-0.0029580645161290317,0.23548387096774193,CS (CS)
SV,1393,-0.004406317300789662,0.23761665470208185,slurve (SV)
