model,dataset,rows,accuracy,top2_accuracy,top3_accuracy,macro_f1,avg_actual_probability,avg_confidence
per_pitcher_hist_gradient_boosting_fallback_arsenal_masked,2025_holdout,52324,0.4251968503937008,0.6908111000688021,0.8561463190887547,0.2794208235393087,0.3368005877063571,0.4922948179069776
per_pitcher_hist_gradient_boosting_fallback,2025_holdout,52324,0.4251395153275743,0.6906582065591316,0.8561845424661723,0.2794191648166542,0.33659083309521787,0.49199259166282355
pooled_hist_gradient_boosting_fallback_arsenal_masked,2025_holdout,52324,0.40769054353642686,0.6694251204036389,0.8326007185994955,0.23764776112153224,0.2935186680182707,0.41062796445893734
pooled_hist_gradient_boosting_fallback,2025_holdout,52324,0.4075567617154652,0.668488647656907,0.8268481002981424,0.2375778351212089,0.26520470971811644,0.37157479601342774
state_machine_lookup_arsenal_masked,2025_holdout,52324,0.37816298448130875,0.6116313737481844,0.771309532910328,0.2488330088890234,0.2673531666580022,0.3790029556761476
state_machine_lookup,2025_holdout,52324,0.3780865377264735,0.5695665469000841,0.6665583670973168,0.24877299115593204,0.17677185003806242,0.24949458550360065
pooled_hist_gradient_boosting_fallback_arsenal_masked,2026_to_date,82282,0.3705670742082108,0.6214238837169733,0.7848739700055906,0.1964183934805973,0.27437659127442643,0.4062464583058681
pooled_hist_gradient_boosting_fallback,2026_to_date,82282,0.3705549208818454,0.620986363967818,0.7808755256313653,0.19641358664958053,0.24898159555259194,0.3661883846343057
per_pitcher_hist_gradient_boosting_fallback_arsenal_masked,2026_to_date,82282,0.36345737828443647,0.6114824627500547,0.780924138936827,0.22813801804743614,0.29890765302342626,0.48959533060033683
per_pitcher_hist_gradient_boosting_fallback,2026_to_date,82282,0.3634209183053402,0.6114824627500547,0.7809119856104616,0.22812687383503755,0.29869344557955096,0.48910020360418655
state_machine_lookup_arsenal_masked,2026_to_date,82282,0.35784254150360956,0.5929607933691451,0.7530322549281738,0.22403799129225593,0.26497291259171946,0.39791583153423465
state_machine_lookup,2026_to_date,82282,0.3577817748717824,0.5756058433193165,0.7007729515568412,0.22396881953644274,0.19914222941408385,0.2974377170887011
